,rating,name,review,verified,vote,date,length
0,negative,Eric C. Gosh,We have several units from Pyle The PA works great with the wireless mic Everything else is erratic and inconsistent even with their other PA systems I have reached out to Pyle several times they have asked me to register the product on the site which I did however I was never sent a confirmation so it seems I can not get warranty support Going on the site you can find that I registered the devices multiple time and still nothing They have stopped responding to emails I am going to try to call them one more time tomorrow and if I can not get this resolved I am going to return this purchase and sell the other we purchased previously Its a great value if you are just using the wireless mic but everything else is a miss,True,0.0,03.01.2018,139
2,neutral,John A. Theotonio,Took two of these to get one that worked First one started smoking the instant I plugged in the AC power Amazon was great on replacing it within days New one seems to be working Only time will tell I know Amazon calls these products Amazon Basics and they sure do seem to be very basic but functional I did have an issue with one flash drive when I plugged it into this hub I kept getting a message that the drive was not compatible with the current operating system windows and I need to reformat Caused me worrybut I made sure that nothing was on the flash drive needed and I did the reformat Works,True,0.0,15.01.2018,116
3,negative,CP,The switch worked for the first few months then I just watched TV and not the DVD connected to port so I do not know when it actually stopped working Now after a couple years having the switch installed it will not hold the signal from the DVD on port With the DVD playing and the cable box off it keeps switching between DVD a good signal and cable no signal I would have tried connecting a V power supply to the supplied DC input port but I do not have the necessary coaxial plug,False,0.0,17.07.2018,95
4,positive,C. D. A,Works great,True,0.0,17.01.2018,2
6,negative,VintageTVandMovieFan,Ordered of the pack I received small brown boxes The first had one of the pack PL in it but the second box had as the sticker on the outside of the box stated a Fairy String Lights Bedroom There is some type of string of lights inside the box I find this HIGHLY OFFENSIVE,True,0.0,27.03.2018,55
7,positive,Nancy,You can cut to size and it covers the cords well,True,0.0,19.03.2018,11
8,negative,Khouri,I can not figure out how someone can put a chart in this Its not possible,True,0.0,28.01.2018,16
9,neutral,Kiyo M.,I use this mainly for outdoor when playing basketball with friends The hour battery life is misleading I fully charge it every time and I get the low battery warning after hours I also have the Sony XB which has a better battery life and better for casual listening but these are better if you want to really blast your music and have bass I really hate bluetooth speakers that has to announce to the whole world Power on Just turn on and off without annoyances like that the Sony XB does not do that but this does Also these are kind of heavy to carry If you want portability this is not it The carry case is more like a glove cover where its not really that secure I do like that there is a pocket on the top where I can store my mp playersmartphone in there At first I did not realize there was a slit opening on the back of the casing so I was removing the speaker from the case every time to charge but you do not have to do that There is also a small opening to access the buttons on the casing too Pros More for outdoor usebass more powerful than the Sony XB Cons hour battery life is misleading I get only hours of continuous use playing it loud before it gives me low battery warning Cloth case cover is not that secure not that well designed seems more like an afterthought Pretty heavy and large I hate speakers that has to announce loudly Power On just turn on without any annoyances like that If you want large booming bass for outdoor use this is a better choice than the Sony XB However the trade off is weaker battery life heavy to carry around and not for low volume casual listening,False,0.0,18.05.2018,310
11,neutral,NGAConny,Perfect for what I needed but not the best quality cabling,True,0.0,06.04.2018,11
13,neutral,ManOfManyInterests,This should have cost no more than including shipping Yes it works and yes I got but these are super cheap looking and came with a M commander strip,True,0.0,07.02.2018,29
